color,color_name,hex,R,G,B
white,Branco,#FFFFFF,255,255,255
black,Preto,#000000,0,0,0
grey31,Cinza,#4F4F4F,79,79,79
DarkSlateBlue,Azul Escuro,#483D8B,72,61,139
MidnightBlue,Azul Escuro,#191970,25,25,112
Navy,Azul Escuro,#000080,0,0,128
DarkBlue,Azul Escuro,#00008B,0,0,139
MediumBlue,Azul,#0000CD,0,0,205
Blue,Azul,#0000FF,0,0,255
CornflowerBlue,Azul,#6495ED,100,149,237
RoyalBlue,Azul,#4169E1,65,105,225
DodgerBlue,Azul,#1E90FF,30,144,255
DeepSkyBlue,Azul Claro,#00BFFF,0,191,255
LightSkyBlue,Azul Claro,#87CEFA,135,206,250
SkyBlue,Azul Claro,#87CEEB,135,206,235
LightBlue,Azul Claro,#ADD8E6,173,216,230
MediumSeaGreen,Verde Escuro,#3CB371,60,179,113
SeaGreen,Verde Escuro,#2E8B57,46,139,87
DarkGreen,Verde Escuro,#006400,0,100,0
Green,Verde Escuro,#008000,0,128,0
ForestGreen,Verde Escuro,#228B22,34,139,34
LimeGreen,Verde,#32CD32,50,205,50
Lime,Verde,#00FF00,0,255,0
LawnGreen,Verde,#7CFC00,124,252,0
MediumSlateBlue,Roxo,#7B68EE,123,104,238
BlueViolet,Roxo,#8A2BE2,138,43,226
Indigo,Roxo,#4B0082,75,0,130
DarkViolet,Roxo,#9400D3,148,0,211
DarkOrchid,Roxo,#9932CC,153,50,204
MediumOrchid,Roxo,#BA55D3,186,85,211
Purple,Roxo,#A020F0,128,0,128
DarkMagenta,Roxo,#8B008B,139,0,139
Fuchsia / Magenta,Roxo,#FF00FF,255,0,255
Violet,Roxo,#EE82EE,238,130,238
Orchid,Roxo,#DA70D6,218,112,214
Plum,Roxo,#DDA0DD,221,160,221
HotPink,Rosa,#FF69B4,255,105,180
PaleVioletRed,Rosa,#DB7093,219,112,147
LightPink,Rosa,#FFB6C1,255,182,193
Pink,Rosa,#FFC0CB,255,192,203
DarkRed,Vermelho,#8B0000,139,0,0
FireBrick,Vermelho,#B22222,178,34,34
Brown,Vermelho,#A52A2A,165,42,42
Salmon,Vermelho,#FA8072,250,128,114
DarkSalmon,Vermelho,#E9967A,233,150,122
LightSalmon,Vermelho,#FFA07A,255,160,122
Coral,Vermelho,#FF7F50,255,127,80
Tomato,Vermelho,#FF6347,255,99,71
Red,Vermelho,#FF0000,255,0,0
OrangeRed,Laranja,#FF4500,255,69,0
DarkOrange,Laranja,#FF8C00,255,140,0
Orange,Laranja,#FFA500,255,165,0
Gold,Amarelo,#FFD700,255,215,0
Yellow,Amarelo,#FFFF00,255,255,0
Khaki,Amarelo,#F0E68C,240,230,140
